Aufr. Ku.	Auhns.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 11,14	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen I. und II. abhandlung.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,17, No. 23	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,17	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,26	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,27	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 9,29 n. 17	Ueber die verbindung der stummen consonanten mit folgendum v und die davon abhängigen erscheinungen.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 2,457	Ueber durch nasale erwiterten verbalstämme.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 1,269	Vermischtes. 5) post, pone&#10;— Curtiusʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 10,289	Zur vertretung von skr. j durch griech. β&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. Zeitschr. 4,370	sibja, jus.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. in Zeitschr. 3,324	Ueber des alte S und einige damit verbundene lautentwicklungen (5ter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. in Zeitschr. II,129	Ueber des alte S und einige damit verbundene lautentwicklungen (Dritter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Ku. in Zeitschr. II,463	Ueber durch nasale erwiterten verbalstämme.&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Kuhn Z.	Ueber die aspiraten und ihr gleichzeitiges vorhandensein im an- und auslaut der wurzeln.&#10;— Graſsmannʼs Article in Kuhnʼs Zeitschrift
Kuhn Ztschr.	Ueber des alte S und einige damit verbundene lautentwicklungen (5ter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Kuhn in Zeitschr.	Ueber des alte S und einige damit verbundene lautentwicklungen (Zweiter artikel)&#10;— Kuhnʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 1,154	Gotische etymologieen.&#10;— Schweizerʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 1,384	II. Miscellen.&#10;— Aufrechtʼs Article in Kuhnʼs Zeitschrift
Kuhnʼs Zeitschr. 9,175	Mytho-etymologica.&#10;— Pottʼs Article in Kuhnʼs Zeitschrift
